processing_date,category_1,category_2,isbn13
20250118,"Sports, Hobby & Games Encyclopaedias",Sport and Outdoors,1
20250118,Stories in Verse for Children (Books),"Children's Books on Science, Nature & How It Works",1
20250118,Stories in Verse for Children (Books),Hidden Picture Books for Children,1
20250118,Stories in Verse for Children (Books),"Science, Nature & How It Works",1
20250118,Super-Hero Graphic Novels,Children's Books on Pets,2
20250118,Super-Hero Graphic Novels,Children's Mystery & Detective Comics & Graphic Novels,4
20250118,Super-Hero Graphic Novels,Comics and Graphic Novels,6
20250118,Super-Hero Graphic Novels,Superhero Comics for Children,3
20250118,Superhero Comics for Children,Children's Books on Self-Esteem & Self-Respect,1
20250118,Superhero Comics for Children,Children's Mystery & Detective Comics & Graphic Novels,3
20250118,Superhero Comics for Children,Comics and Graphic Novels,3
20250118,"TV, Movie & Video Game Adaptations for Children","Science, Nature & How It Works",1
20250118,Teen & Young Adult Occult Horror Fiction eBooks,Horror Fantasy,1
20250118,Teen & Young Adult Occult Horror Fiction eBooks,Horror Thrillers,1
20250118,Teen & Young Adult Occult Horror Fiction eBooks,Teen and Young Adult,1
20250118,Teen & Young Adult eBooks,Enemies to Lovers Romance eBooks,1
20250118,Teen & Young Adult eBooks,Teen and Young Adult,1
20250118,Teen and Young Adult,Child Development,1
20250118,Teen and Young Adult,Dystopian Science Fiction (Kindle Store),1
20250118,Teen and Young Adult,Enemies to Lovers Romance eBooks,1
20250118,Teen and Young Adult,Horror Fantasy,1
20250118,Teen and Young Adult,Raising Teenagers,1
20250118,Teen and Young Adult,Regency Historical Romance (Kindle Store),1
20250118,Teen and Young Adult,Science Fiction Adventure (Books),1
20250118,Teen and Young Adult,Travel & Tourism (Books),1
20250118,Travel Fiction for Children,Children's Books on Forests & Trees,1
20250118,Wild Mammals,Birdwatching (Books),1
20250118,Wild Mammals,Children's Books on Forests & Trees,1
20250118,Wild Mammals,"Science, Nature & How It Works",1
